dataset,mr_id,model,distance,total,violations,accuracy
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,bray_curtis,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,cosine_distance,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,euclidean,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,lance_williams,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,manhattan,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,pearson_correlation,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,bray_curtis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,cosine_distance,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,euclidean,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,lance_williams,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,manhattan,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,euclidean,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,lance_williams,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,manhattan,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,pearson_correlation,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,bray_curtis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,cosine_distance,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,euclidean,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,lance_williams,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,mahalanobis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,manhattan,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/gtr-t5-base,pearson_correlation,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,500,8,0.984
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,500,7,0.986
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,500,10,0.98
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,500,6,0.988
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,mahalanobis,500,6,0.988
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,thenlper/gte-small,pearson_correlation,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,bray_curtis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,cosine_distance,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,euclidean,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,lance_williams,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,mahalanobis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,manhattan,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-base-en-v1.5,pearson_correlation,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,bray_curtis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,cosine_distance,500,4,0.992
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,euclidean,500,4,0.992
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,lance_williams,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,mahalanobis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,manhattan,500,5,0.99
glue-qqp,MR3-Duplicate-Question,BAAI/bge-small-en-v1.5,pearson_correlation,500,4,0.992
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,bray_curtis,500,7,0.986
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,cosine_distance,500,6,0.988
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,euclidean,500,6,0.988
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,lance_williams,500,7,0.986
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,mahalanobis,500,7,0.986
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,manhattan,500,7,0.986
glue-qqp,MR3-Duplicate-Question,intfloat/e5-small-v2,pearson_correlation,500,6,0.988
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,mahalanobis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/all-mpnet-base-v2,pearson_correlation,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,bray_curtis,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,cosine_distance,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,euclidean,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,lance_williams,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,mahalanobis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,manhattan,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/gtr-t5-base,pearson_correlation,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,500,8,0.984
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,500,4,0.992
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,500,5,0.99
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,bray_curtis,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,cosine_distance,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,euclidean,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,lance_williams,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,mahalanobis,500,6,0.988
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,manhattan,500,3,0.994
glue-qqp,MR3-Duplicate-Question,thenlper/gte-small,pearson_correlation,500,3,0.994
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,cosine_distance,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,euclidean,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,mahalanobis,500,7,0.986
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,manhattan,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-base-en-v1.5,pearson_correlation,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,cosine_distance,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,euclidean,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,mahalanobis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,manhattan,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,BAAI/bge-small-en-v1.5,pearson_correlation,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,bray_curtis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,lance_williams,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,mahalanobis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,manhattan,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,intfloat/e5-small-v2,pearson_correlation,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,cosine_distance,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,euclidean,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,mahalanobis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,manhattan,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,euclidean,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,manhattan,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/all-mpnet-base-v2,pearson_correlation,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,bray_curtis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,lance_williams,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,mahalanobis,500,9,0.982
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,manhattan,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/gtr-t5-base,pearson_correlation,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,500,6,0.988
