dataset,mr_id,model,distance,total,violations,accuracy
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,500,8,0.984
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,500,10,0.98
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,500,17,0.966
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,500,13,0.974
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,euclidean,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,manhattan,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,500,4,0.992
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,bray_curtis,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,cosine_distance,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,euclidean,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,lance_williams,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,mahalanobis,500,6,0.988
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,manhattan,500,5,0.99
glue-stsb,MR1-Semantic-Similarity,thenlper/gte-small,pearson_correlation,500,5,0.99
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,bray_curtis,500,27,0.946
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,cosine_distance,500,24,0.952
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,euclidean,500,24,0.952
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,lance_williams,500,27,0.946
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,mahalanobis,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,manhattan,500,27,0.946
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-base-en-v1.5,pearson_correlation,500,24,0.952
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,bray_curtis,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,cosine_distance,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,euclidean,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,lance_williams,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,mahalanobis,500,42,0.916
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,manhattan,500,31,0.938
snli,MR4-Entailment-vs-Contradiction,BAAI/bge-small-en-v1.5,pearson_correlation,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,bray_curtis,500,34,0.932
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,cosine_distance,500,33,0.934
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,euclidean,500,33,0.934
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,lance_williams,500,34,0.932
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,mahalanobis,500,59,0.882
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,manhattan,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,intfloat/e5-small-v2,pearson_correlation,500,33,0.934
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,37,0.926
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,39,0.922
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,39,0.922
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,45,0.91
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,36,0.928
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,39,0.922
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,bray_curtis,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,cosine_distance,500,20,0.96
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,euclidean,500,20,0.96
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,lance_williams,500,17,0.966
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,mahalanobis,500,20,0.96
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,manhattan,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,20,0.96
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,20,0.96
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,euclidean,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,lance_williams,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,28,0.944
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,manhattan,500,19,0.962
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/all-mpnet-base-v2,pearson_correlation,500,18,0.964
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,bray_curtis,500,103,0.794
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,cosine_distance,500,102,0.796
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,euclidean,500,102,0.796
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,lance_williams,500,101,0.798
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,mahalanobis,500,114,0.772
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,manhattan,500,100,0.8
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/gtr-t5-base,pearson_correlation,500,101,0.798
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,500,90,0.82
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,500,92,0.816
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,500,92,0.816
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,500,89,0.822
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,500,118,0.764
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,500,91,0.818
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,500,92,0.816
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,500,105,0.79
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,500,112,0.776
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,500,112,0.776
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,500,107,0.786
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,500,119,0.762
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,500,106,0.788
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,500,112,0.776
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,500,124,0.752
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,500,124,0.752
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,500,127,0.746
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,500,125,0.75
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,500,146,0.708
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,500,124,0.752
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,500,124,0.752
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,500,39,0.922
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,500,38,0.924
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,500,35,0.93
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,500,40,0.92
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,500,46,0.908
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,500,40,0.92
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,500,38,0.924
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,euclidean,500,32,0.936
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,500,44,0.912
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,manhattan,500,33,0.934
snli,MR4-Entailment-vs-Contradiction,sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,500,30,0.94
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,bray_curtis,500,44,0.912
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,cosine_distance,500,38,0.924
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,euclidean,500,38,0.924
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,lance_williams,500,44,0.912
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,mahalanobis,500,51,0.898
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,manhattan,500,40,0.92
snli,MR4-Entailment-vs-Contradiction,thenlper/gte-small,pearson_correlation,500,38,0.924
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-base-en-v1.5,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,BAAI/bge-small-en-v1.5,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,intfloat/e5-small-v2,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/all-mpnet-base-v2,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/gtr-t5-base,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,bray_curtis,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,cosine_distance,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,euclidean,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,lance_williams,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,mahalanobis,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,manhattan,500,0,1.0
synthetic,MR5-Domain-Knowledge,thenlper/gte-small,pearson_correlation,500,0,1.0
