model,distance,dataset,mr_id,total,violations,accuracy,violation_rate
BAAI/bge-base-en-v1.5,bray_curtis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,27,0.946,0.054
BAAI/bge-base-en-v1.5,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,cosine_distance,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,24,0.952,0.048
BAAI/bge-base-en-v1.5,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,euclidean,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,euclidean,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,euclidean,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,euclidean,snli,MR4-Entailment-vs-Contradiction,500,24,0.952,0.048
BAAI/bge-base-en-v1.5,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,lance_williams,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,27,0.946,0.054
BAAI/bge-base-en-v1.5,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,7,0.986,0.014
BAAI/bge-base-en-v1.5,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
BAAI/bge-base-en-v1.5,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,manhattan,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,manhattan,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,manhattan,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,manhattan,snli,MR4-Entailment-vs-Contradiction,500,27,0.946,0.054
BAAI/bge-base-en-v1.5,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-base-en-v1.5,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
BAAI/bge-base-en-v1.5,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-base-en-v1.5,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-base-en-v1.5,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,24,0.952,0.048
BAAI/bge-base-en-v1.5,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,bray_curtis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
BAAI/bge-small-en-v1.5,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
BAAI/bge-small-en-v1.5,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,euclidean,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,euclidean,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,euclidean,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
BAAI/bge-small-en-v1.5,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,lance_williams,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
BAAI/bge-small-en-v1.5,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,42,0.916,0.084
BAAI/bge-small-en-v1.5,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,manhattan,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,manhattan,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,manhattan,snli,MR4-Entailment-vs-Contradiction,500,31,0.938,0.062
BAAI/bge-small-en-v1.5,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
BAAI/bge-small-en-v1.5,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
BAAI/bge-small-en-v1.5,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
BAAI/bge-small-en-v1.5,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
BAAI/bge-small-en-v1.5,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,bray_curtis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,7,0.986,0.014
intfloat/e5-small-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,34,0.932,0.068
intfloat/e5-small-v2,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,6,0.988,0.012
intfloat/e5-small-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,33,0.934,0.066
intfloat/e5-small-v2,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,euclidean,glue-qqp,MR3-Duplicate-Question,500,6,0.988,0.012
intfloat/e5-small-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,500,33,0.934,0.066
intfloat/e5-small-v2,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,lance_williams,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,500,7,0.986,0.014
intfloat/e5-small-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,34,0.932,0.068
intfloat/e5-small-v2,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,7,0.986,0.014
intfloat/e5-small-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
intfloat/e5-small-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,59,0.882,0.118
intfloat/e5-small-v2,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,manhattan,glue-qqp,MR3-Duplicate-Question,500,7,0.986,0.014
intfloat/e5-small-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
intfloat/e5-small-v2,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
intfloat/e5-small-v2,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
intfloat/e5-small-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,6,0.988,0.012
intfloat/e5-small-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
intfloat/e5-small-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,33,0.934,0.066
intfloat/e5-small-v2,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,37,0.926,0.074
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,39,0.922,0.078
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,500,39,0.922,0.078
sentence-transformers/all-MiniLM-L6-v2,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
sentence-transformers/all-MiniLM-L6-v2,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,45,0.91,0.09
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,500,36,0.928,0.072
sentence-transformers/all-MiniLM-L6-v2,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,39,0.922,0.078
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-distilroberta-v1,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,20,0.96,0.04
sentence-transformers/all-distilroberta-v1,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,euclidean,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,euclidean,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,500,20,0.96,0.04
sentence-transformers/all-distilroberta-v1,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,lance_williams,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,17,0.966,0.034
sentence-transformers/all-distilroberta-v1,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,20,0.96,0.04
