model,distance,dataset,mr_id,total,violations,accuracy,violation_rate
sentence-transformers/all-distilroberta-v1,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,manhattan,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,manhattan,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-distilroberta-v1,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,20,0.96,0.04
sentence-transformers/all-distilroberta-v1,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,bray_curtis,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,20,0.96,0.04
sentence-transformers/all-mpnet-base-v2,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,cosine_distance,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-mpnet-base-v2,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,euclidean,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-mpnet-base-v2,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,lance_williams,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-mpnet-base-v2,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,mahalanobis,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,28,0.944,0.056
sentence-transformers/all-mpnet-base-v2,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,manhattan,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,500,19,0.962,0.038
sentence-transformers/all-mpnet-base-v2,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/all-mpnet-base-v2,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/all-mpnet-base-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/all-mpnet-base-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,18,0.964,0.036
sentence-transformers/all-mpnet-base-v2,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,bray_curtis,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,103,0.794,0.206
sentence-transformers/gtr-t5-base,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,cosine_distance,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,102,0.796,0.204
sentence-transformers/gtr-t5-base,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,euclidean,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,euclidean,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,euclidean,snli,MR4-Entailment-vs-Contradiction,500,102,0.796,0.204
sentence-transformers/gtr-t5-base,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,lance_williams,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,lance_williams,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,101,0.798,0.202
sentence-transformers/gtr-t5-base,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,mahalanobis,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,9,0.982,0.018
sentence-transformers/gtr-t5-base,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,114,0.772,0.228
sentence-transformers/gtr-t5-base,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,manhattan,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,manhattan,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,manhattan,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,manhattan,snli,MR4-Entailment-vs-Contradiction,500,100,0.8,0.2
sentence-transformers/gtr-t5-base,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/gtr-t5-base,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/gtr-t5-base,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/gtr-t5-base,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,101,0.798,0.202
sentence-transformers/gtr-t5-base,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,90,0.82,0.18
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,89,0.822,0.178
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,118,0.764,0.236
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,snli,MR4-Entailment-vs-Contradiction,500,91,0.818,0.182
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,105,0.79,0.21
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,112,0.776,0.224
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,500,112,0.776,0.224
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,107,0.786,0.214
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,10,0.98,0.02
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,119,0.762,0.238
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
